dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.170131,24.427000,0.000199,0.019900,0.995025,49.751244,0.000000
0.020000,3.170927,24.427000,0.000995,0.039801,0.995025,-0.000000,0.000000
0.020000,3.172718,24.427000,0.002786,0.089552,2.487562,74.626866,0.000000
0.020000,3.175703,24.427000,0.005771,0.149254,2.985075,24.875622,0.000000
0.020000,3.179882,24.427000,0.009950,0.208955,2.985075,-0.000000,0.000000
0.020000,3.185255,24.427000,0.015323,0.268657,2.985075,0.000000,0.000000
0.020000,3.191822,24.427000,0.021891,0.328358,2.985075,0.000000,0.000000
0.020000,3.199583,24.427000,0.029652,0.388060,2.985075,0.000000,0.000000
0.020000,3.208539,24.427000,0.038607,0.447761,2.985075,0.000000,0.000000
0.020000,3.218688,24.427000,0.048756,0.507463,2.985075,-0.000000,0.000000
0.020000,3.230031,24.427000,0.060100,0.567164,2.985075,0.000000,0.000000
0.020000,3.242569,24.427000,0.072637,0.626866,2.985075,0.000000,0.000000
0.020000,3.256300,24.427000,0.086368,0.686567,2.985075,0.000000,0.000000
0.020000,3.271225,24.427000,0.101294,0.746269,2.985075,-0.000000,0.000000
0.020000,3.287345,24.427000,0.117413,0.805970,2.985075,0.000000,0.000000
0.020000,3.304658,24.427000,0.134726,0.865672,2.985075,0.000000,0.000000
0.020000,3.323166,24.427000,0.153234,0.925373,2.985075,0.000000,0.000000
0.020000,3.342867,24.427000,0.172935,0.985075,2.985075,0.000000,0.000000
0.020000,3.363763,24.427000,0.193831,1.044776,2.985075,-0.000000,0.000000
0.020000,3.385852,24.427000,0.215920,1.104478,2.985075,0.000000,0.000000
0.020000,3.409136,24.427000,0.239204,1.164179,2.985075,-0.000000,0.000000
0.020000,3.433613,24.427000,0.263682,1.223881,2.985075,0.000000,0.000000
0.020000,3.459285,24.427000,0.289353,1.283582,2.985075,0.000000,0.000000
0.020000,3.486151,24.427000,0.316219,1.343284,2.985075,0.000000,0.000000
0.020000,3.514210,24.427000,0.344279,1.402985,2.985075,-0.000000,0.000000
0.020000,3.543464,24.427000,0.373532,1.462687,2.985075,0.000000,0.000000
0.020000,3.573912,24.427000,0.403980,1.522388,2.985075,0.000000,0.000000
0.020000,3.605554,24.427000,0.435622,1.582090,2.985075,0.000000,0.000000
0.020000,3.638389,24.427000,0.468458,1.641791,2.985075,0.000000,0.000000
0.020000,3.672419,24.427000,0.502488,1.701493,2.985075,-0.000000,0.000000
0.020000,3.707643,24.427000,0.537711,1.761194,2.985075,0.000000,0.000000
0.020000,3.744061,24.427000,0.574129,1.820896,2.985075,0.000000,0.000000
0.020000,3.781673,24.427000,0.611741,1.880597,2.985075,-0.000000,0.000000
0.020000,3.820479,24.427000,0.650547,1.940299,2.985075,0.000000,0.000000
0.020000,3.860479,24.427000,0.690547,2.000000,2.985075,-0.000000,0.000000
