dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.692026,13.650297,4.181587,4.373246,-0.920633,0.413612,0.670576
0.020000,6.760057,13.704687,4.268687,4.355008,-0.911872,0.438045,0.678236
0.020000,6.827399,13.759356,4.355426,4.336953,-0.902761,0.455552,0.685506
0.020000,6.894077,13.814273,4.441808,4.319085,-0.893427,0.466692,0.692390
0.020000,6.960114,13.869409,4.527836,4.301405,-0.883986,0.472061,0.698893
0.020000,7.025534,13.924734,4.613514,4.283914,-0.874542,0.472211,0.705019
0.020000,7.090363,13.980222,4.698847,4.266610,-0.865189,0.467642,0.710771
0.020000,7.154622,14.035846,4.783836,4.249490,-0.856012,0.458849,0.716154
0.020000,7.218336,14.091580,4.868487,4.232548,-0.847087,0.446278,0.721171
0.020000,7.281528,14.147400,4.952803,4.215779,-0.838479,0.430364,0.725827
0.020000,7.344222,14.203281,5.036786,4.199174,-0.830250,0.411464,0.730124
0.020000,7.406441,14.259200,5.120441,4.182725,-0.822451,0.389960,0.734066
0.020000,7.468207,14.315134,5.203769,4.166422,-0.815128,0.366151,0.737657
0.020000,7.529542,14.371060,5.286774,4.150256,-0.808321,0.340335,0.740899
0.020000,7.590469,14.426958,5.369459,4.134214,-0.802065,0.312794,0.743794
0.020000,7.651010,14.482806,5.451824,4.118287,-0.796390,0.283738,0.746347
0.020000,7.711185,14.538582,5.533874,4.102460,-0.791322,0.253411,0.748557
0.020000,7.771016,14.594267,5.615608,4.086723,-0.786882,0.221997,0.750428
0.020000,7.830523,14.649840,5.697029,4.071061,-0.783089,0.189676,0.751961
0.020000,7.889727,14.705280,5.778139,4.055462,-0.779956,0.156621,0.753158
0.020000,7.948646,14.760569,5.858937,4.039912,-0.777497,0.122970,0.754019
0.020000,8.007302,14.815686,5.939425,4.024397,-0.775720,0.088872,0.754545
0.020000,8.065711,14.870612,6.019603,4.008905,-0.774630,0.054456,0.754737
0.020000,8.123894,14.925327,6.099471,3.993420,-0.774233,0.019848,0.754596
0.020000,8.181867,14.979812,6.179030,3.977929,-0.774530,-0.014830,0.754119
0.020000,8.239650,15.034047,6.258278,3.962419,-0.775519,-0.049457,0.753309
0.020000,8.297259,15.088013,6.337216,3.946875,-0.777197,-0.083911,0.752162
0.020000,8.354711,15.141691,6.415841,3.931284,-0.779559,-0.118067,0.750680
0.020000,8.412022,15.195060,6.494154,3.915632,-0.782595,-0.151794,0.748860
0.020000,8.469209,15.248102,6.572152,3.899906,-0.786294,-0.184955,0.746700
0.020000,8.526286,15.300795,6.649834,3.884093,-0.790642,-0.217399,0.744199
0.020000,8.583270,15.353121,6.727198,3.868181,-0.795621,-0.248960,0.741355
0.020000,8.640175,15.405058,6.804241,3.852157,-0.801210,-0.279473,0.738166
0.020000,8.697015,15.456587,6.880961,3.836009,-0.807385,-0.308737,0.734628
0.020000,8.753804,15.507686,6.957356,3.819727,-0.814116,-0.336526,0.730738
0.020000,8.810555,15.558336,7.033421,3.803299,-0.821368,-0.362625,0.726495
0.020000,8.867281,15.608514,7.109156,3.786717,-0.829103,-0.386759,0.721893
0.020000,8.923994,15.658200,7.184555,3.769972,-0.837276,-0.408637,0.716930
0.020000,8.980707,15.707371,7.259616,3.753055,-0.845835,-0.427954,0.711603
0.020000,9.037430,15.756007,7.334336,3.735961,-0.854722,-0.444356,0.705906
0.020000,9.094175,15.804085,7.408709,3.718683,-0.863871,-0.457458,0.699837
0.020000,9.150951,15.851583,7.482734,3.701219,-0.873208,-0.466854,0.693391
0.020000,9.207769,15.898478,7.556405,3.683566,-0.882650,-0.472094,0.686564
0.020000,9.264638,15.944748,7.629719,3.665724,-0.892104,-0.472698,0.679352
0.020000,9.321567,15.990370,7.702673,3.647695,-0.901467,-0.468153,0.671751
0.020000,9.378564,16.035321,7.775263,3.629482,-0.910626,-0.457915,0.663758
0.020000,9.435636,16.079579,7.847485,3.611093,-0.919454,-0.441412,0.655367
0.020000,9.492792,16.123120,7.919336,3.592537,-0.927815,-0.418066,0.646576
0.020000,9.550037,16.165921,7.990812,3.573825,-0.935560,-0.387241,0.637382
0.020000,9.607377,16.207959,8.061912,3.554975,-0.942527,-0.348353,0.627781
0.020000,9.664819,16.249212,8.132632,3.536004,-0.948543,-0.300776,0.617770
0.020000,9.722367,16.289656,8.202970,3.516936,-0.953421,-0.243921,0.607349
0.020000,9.780026,16.329270,8.272926,3.497796,-0.956966,-0.177231,0.596514
0.020000,9.837800,16.368031,8.342499,3.478617,-0.958970,-0.100198,0.585266
0.020000,9.895694,16.405918,8.411687,3.459433,-0.959217,-0.012390,0.573603
0.020000,9.953587,16.442831,8.480348,3.433017,-1.320762,-18.077215,0.561554
0.020000,10.011215,16.478593,8.548169,3.391089,-2.096431,-38.783480,0.549180
0.020000,10.068286,16.513029,8.614825,3.332781,-2.915370,-40.946955,0.536558
0.020000,10.124632,16.546057,8.680138,3.265646,-3.356772,-22.070080,0.523743
0.020000,10.180228,16.577690,8.744103,3.198266,-3.369002,-0.611505,0.510763
0.020000,10.235071,16.607953,8.806742,3.131920,-3.317272,2.586506,0.497640
0.020000,10.289156,16.636874,8.868074,3.066623,-3.264871,2.620056,0.484395
0.020000,10.342480,16.664483,8.928122,3.002382,-3.212025,2.642289,0.471053
0.020000,10.395039,16.690811,8.986906,2.939203,-3.158976,2.652447,0.457636
0.020000,10.446829,16.715887,9.044447,2.877083,-3.105977,2.649982,0.444167
0.020000,10.497846,16.739746,9.100768,2.816018,-3.053285,2.634571,0.430668
0.020000,10.548087,16.762420,9.155888,2.755994,-3.001162,2.606139,0.417162
0.020000,10.597547,16.783942,9.209828,2.696997,-2.949866,2.564821,0.403671
0.020000,10.646223,16.804348,9.262608,2.639004,-2.899646,2.511000,0.390218
0.020000,10.694111,16.823672,9.314248,2.581989,-2.850741,2.445267,0.376822
0.020000,10.741207,16.841949,9.364766,2.525922,-2.803373,2.368388,0.363504
0.020000,10.787508,16.859214,9.414181,2.470767,-2.757746,2.281355,0.350285
0.020000,10.833011,16.875502,9.462511,2.416486,-2.714041,2.185222,0.337183
0.020000,10.877710,16.890848,9.509772,2.363038,-2.672417,2.081206,0.324215
0.020000,10.921604,16.905288,9.555979,2.310378,-2.633005,1.970627,0.311399
0.020000,10.964687,16.918855,9.601149,2.258460,-2.595910,1.854753,0.298752
0.020000,11.006957,16.931585,9.645293,2.207235,-2.561210,1.734975,0.286287
0.020000,11.048408,16.943512,9.688426,2.156656,-2.528958,1.612593,0.274019
0.020000,11.089037,16.954669,9.730560,2.106673,-2.499180,1.488929,0.261961
0.020000,11.128841,16.965089,9.771705,2.057235,-2.471877,1.365146,0.250124
0.020000,11.167814,16.974805,9.811870,2.008295,-2.447028,1.242425,0.238519
0.020000,11.205952,16.983850,9.851067,1.959803,-2.424593,1.121773,0.227156
0.020000,11.243251,16.992253,9.889301,1.911712,-2.404510,1.004123,0.216043
0.020000,11.279707,17.000047,9.926580,1.863978,-2.386704,0.890318,0.205189
0.020000,11.315315,17.007261,9.962911,1.816557,-2.371085,0.780946,0.194600
0.020000,11.350070,17.013925,9.998300,1.769406,-2.357551,0.676709,0.184281
0.020000,11.383968,17.020067,10.032749,1.722486,-2.345992,0.577935,0.174238
0.020000,11.417003,17.025716,10.066264,1.675760,-2.336291,0.485049,0.164475
0.020000,11.449172,17.030899,10.098848,1.629194,-2.328327,0.398226,0.154996
0.020000,11.480470,17.035642,10.130503,1.582754,-2.321973,0.317683,0.145802
0.020000,11.510892,17.039971,10.161232,1.536412,-2.317105,0.243406,0.136897
0.020000,11.540433,17.043911,10.191034,1.490140,-2.313597,0.175396,0.128282
0.020000,11.569089,17.047486,10.219913,1.443914,-2.311325,0.113579,0.119957
0.020000,11.596856,17.050720,10.247867,1.397710,-2.310168,0.057872,0.111923
0.020000,11.623728,17.053635,10.274897,1.351510,-2.310009,0.007952,0.104181
0.020000,11.649703,17.056253,10.301003,1.305295,-2.310734,-0.036254,0.096730
0.020000,11.674775,17.058595,10.326184,1.259051,-2.312236,-0.075080,0.089569
0.020000,11.698940,17.060681,10.350439,1.212762,-2.314411,-0.108750,0.082697
0.020000,11.722195,17.062532,10.373768,1.166419,-2.317163,-0.137617,0.076114
0.020000,11.744535,17.064165,10.396168,1.120011,-2.320399,-0.161832,0.069817
0.020000,11.765958,17.065598,10.417639,1.073530,-2.324037,-0.181875,0.063806
0.020000,11.786459,17.066849,10.438178,1.026971,-2.327994,-0.197864,0.058078
0.020000,11.806036,17.067934,10.457784,0.980327,-2.332198,-0.210189,0.052632
0.020000,11.824684,17.068868,10.476456,0.933595,-2.336582,-0.219175,0.047466
0.020000,11.842402,17.069666,10.494192,0.886773,-2.341079,-0.224885,0.042577
0.020000,11.859185,17.070342,10.510989,0.839861,-2.345636,-0.227862,0.037965
0.020000,11.875032,17.070910,10.526846,0.792857,-2.350199,-0.228150,0.033626
0.020000,11.889940,17.071381,10.541761,0.745762,-2.354720,-0.226027,0.029560
0.020000,11.903906,17.071767,10.555733,0.698579,-2.359156,-0.221822,0.025763
0.020000,11.916929,17.072080,10.568759,0.651310,-2.363467,-0.215551,0.022235
0.020000,11.929006,17.072329,10.580838,0.603957,-2.367620,-0.207621,0.018973
0.020000,11.940134,17.072523,10.591969,0.556526,-2.371581,-0.198053,0.015976
0.020000,11.950314,17.072672,10.602149,0.509019,-2.375322,-0.187064,0.013242
0.020000,11.959542,17.072783,10.611378,0.461443,-2.378820,-0.174880,0.010770
0.020000,11.967817,17.072862,10.619654,0.413802,-2.382051,-0.161553,0.008557
0.020000,11.975139,17.072918,10.626976,0.366102,-2.384996,-0.147268,0.006604
0.020000,11.981506,17.072955,10.633343,0.318349,-2.387639,-0.132143,0.004909
0.020000,11.986917,17.072977,10.638754,0.270550,-2.389965,-0.116268,0.003470
0.020000,11.991371,17.072990,10.643208,0.222711,-2.391961,-0.099827,0.002287
0.020000,11.994868,17.072997,10.646705,0.174838,-2.393618,-0.082838,0.001360
0.020000,11.997407,17.072999,10.649244,0.126940,-2.394927,-0.065467,0.000687
0.020000,11.998987,17.073000,10.650824,0.079022,-2.395882,-0.047750,0.000268
0.020000,11.999745,17.073000,10.651582,0.037894,-2.056400,16.974129,0.000067
0.020000,11.999976,17.073000,10.651813,0.011552,-1.317101,36.964935,0.000006
0.020000,12.000000,17.073000,10.651837,0.001188,-0.518223,39.943874,0.000000
0.020000,12.000000,17.073000,10.651837,0.000000,-0.059381,22.942110,0.000000
