dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.539881,15.102838,2.938377,3.626733,0.920742,-0.413923,0.670576
0.020000,5.596819,15.148361,3.011276,3.644972,0.911975,-0.438365,0.678236
0.020000,5.653697,15.194536,3.084537,3.663029,0.902858,-0.455847,0.685506
0.020000,5.710522,15.241338,3.158155,3.680900,0.893518,-0.466994,0.692390
0.020000,5.767304,15.288747,3.232126,3.698581,0.884071,-0.472360,0.698893
0.020000,5.824053,15.336739,3.306448,3.716073,0.874621,-0.472491,0.705019
0.020000,5.880779,15.385293,3.381116,3.733379,0.865263,-0.467916,0.710771
0.020000,5.937492,15.434385,3.456126,3.750500,0.856081,-0.459115,0.716154
0.020000,5.994205,15.483995,3.531474,3.767443,0.847150,-0.446545,0.721171
0.020000,6.050928,15.534101,3.607159,3.784214,0.838538,-0.430608,0.725827
0.020000,6.107675,15.584681,3.683175,3.800820,0.830303,-0.411714,0.730124
0.020000,6.164457,15.635714,3.759520,3.817270,0.822500,-0.390191,0.734066
0.020000,6.221288,15.687180,3.836192,3.833574,0.815172,-0.366379,0.737657
0.020000,6.278182,15.739057,3.913187,3.849741,0.808361,-0.340565,0.740899
0.020000,6.335154,15.791326,3.990502,3.865783,0.802101,-0.313000,0.743794
0.020000,6.392216,15.843965,4.068137,3.881711,0.796422,-0.283952,0.746347
0.020000,6.449386,15.896956,4.146087,3.897538,0.791349,-0.253615,0.748557
0.020000,6.506677,15.950277,4.224353,3.913276,0.786905,-0.222196,0.750428
0.020000,6.564107,16.003910,4.302932,3.928938,0.783108,-0.189876,0.751961
0.020000,6.621691,16.057834,4.381822,3.944538,0.779972,-0.156811,0.753158
0.020000,6.679446,16.112030,4.461024,3.960088,0.777508,-0.123161,0.754019
0.020000,6.737390,16.166479,4.540536,3.975603,0.775727,-0.089060,0.754545
0.020000,6.795540,16.221161,4.620358,3.991095,0.774634,-0.054643,0.754737
0.020000,6.853915,16.276056,4.700490,4.006580,0.774234,-0.020034,0.754596
0.020000,6.912532,16.331146,4.780931,4.022070,0.774527,0.014644,0.754119
0.020000,6.971411,16.386410,4.861683,4.037581,0.775512,0.049270,0.753309
0.020000,7.030570,16.441829,4.942745,4.053124,0.777186,0.083723,0.752162
0.020000,7.090030,16.497383,5.024120,4.068715,0.779544,0.117877,0.750680
0.020000,7.149811,16.553052,5.105807,4.084367,0.782576,0.151603,0.748860
0.020000,7.209934,16.608816,5.187809,4.100092,0.786271,0.184758,0.746700
0.020000,7.270418,16.664654,5.270127,4.115905,0.790615,0.217197,0.744199
0.020000,7.331286,16.720546,5.352763,4.131816,0.795590,0.248762,0.741355
0.020000,7.392559,16.776470,5.435720,4.147840,0.801176,0.279264,0.738166
0.020000,7.454258,16.832404,5.519000,4.163987,0.807346,0.308514,0.734628
0.020000,7.516408,16.888326,5.602605,4.180268,0.814072,0.336312,0.730738
