dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.671389,11.177185,3.018901,3.702026,0.807698,-0.299068,5.699469
0.020000,5.733311,11.136012,3.093262,3.718057,0.801523,-0.308720,5.693386
0.020000,5.795253,11.094296,3.167941,3.733961,0.795240,-0.314182,5.687647
0.020000,5.857222,11.052058,3.242936,3.749740,0.788923,-0.315828,5.682248
0.020000,5.919227,11.009319,3.318244,3.765393,0.782644,-0.313977,5.677186
0.020000,5.981277,10.966099,3.393862,3.780922,0.776465,-0.308958,5.672459
0.020000,6.043381,10.922420,3.469789,3.796331,0.770443,-0.301084,5.668065
0.020000,6.105550,10.878301,3.546022,3.811623,0.764631,-0.290617,5.664001
0.020000,6.167793,10.833764,3.622558,3.826805,0.759073,-0.277858,5.660265
0.020000,6.230121,10.788828,3.699395,3.841881,0.753813,-0.263024,5.656853
0.020000,6.292545,10.743514,3.776532,3.856859,0.748885,-0.246373,5.653765
0.020000,6.355077,10.697841,3.853967,3.871745,0.744323,-0.228109,5.650998
0.020000,6.417728,10.651831,3.931698,3.886548,0.740155,-0.208428,5.648550
0.020000,6.480510,10.605502,4.009724,3.901277,0.736404,-0.187523,5.646420
0.020000,6.543437,10.558875,4.088043,3.915938,0.733093,-0.165569,5.644607
0.020000,6.606520,10.511970,4.166654,3.930543,0.730239,-0.142717,5.643108
0.020000,6.669775,10.464806,4.245556,3.945100,0.727856,-0.119127,5.641924
0.020000,6.733213,10.417403,4.324748,3.959619,0.725957,-0.094930,5.641052
0.020000,6.796849,10.369781,4.404230,3.974110,0.724552,-0.070271,5.640494
0.020000,6.860698,10.321961,4.484002,3.988583,0.723647,-0.045270,5.640248
0.020000,6.924774,10.273960,4.564063,4.003048,0.723245,-0.020055,5.640313
0.020000,6.989093,10.225801,4.644413,4.017515,0.723351,0.005255,5.640691
0.020000,7.053669,10.177503,4.725053,4.031995,0.723961,0.030539,5.641382
0.020000,7.118518,10.129086,4.805983,4.046496,0.725075,0.055678,5.642385
0.020000,7.183657,10.080570,4.887203,4.061030,0.726686,0.080548,5.643701
0.020000,7.249101,10.031977,4.968716,4.075605,0.728786,0.105029,5.645333
0.020000,7.314867,9.983327,5.050520,4.090233,0.731366,0.128981,5.647279
0.020000,7.380972,9.934641,5.132619,4.104921,0.734412,0.152277,5.649543
0.020000,7.447432,9.885941,5.215012,4.119679,0.737907,0.174768,5.652125
0.020000,7.514266,9.837249,5.297703,4.134516,0.741833,0.196295,5.655027
0.020000,7.581491,9.788587,5.380691,4.149439,0.746167,0.216704,5.658252
0.020000,7.649123,9.739977,5.463980,4.164457,0.750883,0.235803,5.661800
0.020000,7.717182,9.691444,5.547572,4.179576,0.755951,0.253413,5.665674
0.020000,7.785685,9.643009,5.631468,4.194803,0.761338,0.269317,5.669877
0.020000,7.854650,9.594698,5.715671,4.210143,0.767004,0.283305,5.674411
0.020000,7.924096,9.546536,5.800183,4.225601,0.772906,0.295124,5.679278
0.020000,7.994040,9.498548,5.885007,4.241181,0.778997,0.304521,5.684482
0.020000,8.064501,9.450760,5.970144,4.256885,0.785221,0.311228,5.690024
0.020000,8.135497,9.403199,6.055599,4.272716,0.791520,0.314943,5.695908
